No,Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
5900,1561288_at,NA,NA,2.73365,2.6906,2.708475,2.843875
5901,1561289_at,LOC286370,286370,2.223075,2.32805,2.123475,2.097475
5902,1561290_at,LOC339622,339622,2.002025,2.0686,2.208875,2.1059
5903,1561291_at,LOC100287349,100287349,2.8729,2.80915,2.839825,2.884
5904,1561292_at,NA,NA,2.9731,3.0549,3.241425,2.97805
5905,1561293_at,LOC100287584,100287584,4.170075,4.060675,3.76965,4.04185
5906,1561294_a_at,hCG_2015435,100128554,2.36445,2.34145,2.1211,2.21045
5907,1561297_at,WARS2,10352,2.285475,2.284475,2.32535,2.268675
5908,1561298_at,NA,NA,3.202,3.20235,3.27025,3.25685
5909,1561300_at,NA,NA,2.7733,2.741375,2.84625,2.9569
5910,1561301_at,LOC151877,151877,4.32635,4.264525,4.15515,3.973475
5911,1561303_at,NA,NA,2.981375,2.878925,2.940025,2.9621
5912,1561304_a_at,PSMG4,389362,5.2038,5.210725,4.952225,4.984575
5913,1561305_at,NA,NA,4.38745,4.55675,4.380575,4.492825
5914,1561306_s_at,STRC,161497,4.383825,4.3741,4.5361,4.3876
5915,1561307_at,NA,NA,2.56425,2.6396,2.48455,2.474525
5916,1561309_x_at,NA,NA,2.289125,2.2768,2.1257,2.234375
5917,1561310_at,NA,NA,3.0856,3.07445,2.951175,3.020725
5918,1561311_at,NA,NA,3.58645,3.557425,3.2693,3.47535
5919,1561313_at,NA,NA,3.964925,3.789575,3.7688,3.7239
5920,1561314_at,NA,NA,3.213825,3.170475,3.1159,3.278225
5921,1561316_at,NA,NA,2.545725,2.659925,2.78835,2.606125
5922,1561318_at,NA,NA,3.733675,3.86755,3.54245,3.7122
5923,1561319_at,OTX2OS1,100309464,2.13045,2.27855,2.230275,2.2105
5924,1561320_at,NA,NA,3.612675,3.5949,3.580075,3.56555
5925,1561322_at,NA,NA,2.2637,2.340575,2.12865,2.093875
5926,1561323_at,LOC339975,339975,3.036175,3.0397,2.83815,2.82655
5927,1561324_at,NA,NA,2.61135,2.55195,2.71685,2.599225
5928,1561327_at,C6orf122,401288,3.469,3.4494,3.538425,3.589825
5929,1561328_at,NA,NA,2.1498,2.131725,2.3076,2.092425
5930,1561329_s_at,RPUSD3,285367,5.455075,5.427475,5.46895,5.488775
5931,1561330_at,DSG4,147409,2.3247,2.390175,2.3708,2.34475
5932,1561331_at,C1orf99,339476,2.03025,2.19275,2.16995,2.009975
5933,1561332_at,ATP13A5,344905,3.646225,3.771125,3.618,3.671625
5934,1561333_at,NA,NA,2.559425,2.447,2.4201,2.30705
5935,1561334_at,LOC285181,285181,2.61925,2.6264,2.683725,2.612625
5936,1561335_at,LOC440602,440602,4.802275,4.93255,4.767525,4.6845
5937,1561336_at,DNASE1L3,1776,4.140775,4.126,3.882575,4.03625
5938,1561339_at,NA,NA,2.425225,2.327875,2.244325,2.2649
5939,1561340_at,NA,NA,1.9984,2.123575,2.10005,2.050775
5940,1561341_at,NA,NA,3.053725,3.0739,3.0573,2.794325
5941,1561342_at,LOC150005,150005,2.53525,2.549175,2.557275,2.472725
5942,1561343_a_at,LOC150005,150005,2.11525,2.1136,2.191875,2.214575
5943,1561345_at,NA,NA,3.748675,3.771075,3.63,3.7958
5944,1561346_at,NA,NA,7.044125,6.90125,6.68435,6.7172
5945,1561347_a_at,NA,NA,2.080625,2.2727,2.01495,1.93145
5946,1561348_at,LOC339874,339874,3.409775,3.4766,3.257125,3.229675
5947,1561351_at,NA,NA,2.2719,2.233575,2.327875,2.1564
5948,1561352_at,NA,NA,3.608125,3.6672,3.603375,3.632475
5949,1561353_at,NA,NA,2.9703,2.95645,2.798775,2.768475
5950,1561354_at,NA,NA,4.00405,4.193925,3.961375,3.894925
5951,1561355_at,LOC692247,692247,5.2808,5.2013,5.19065,5.221725
5952,1561358_at,TXLNA,200081,4.198525,4.263225,4.1166,4.0633
5953,1561360_at,NA,NA,3.7333,3.730725,3.634775,3.681525
5954,1561361_at,ZNF660,285349,2.721325,2.7928,2.553125,2.65605
5955,1561362_at,NA,NA,3.0713,3.058,2.226325,2.333375
5956,1561363_a_at,NA,NA,2.356425,2.5013,2.383,2.35605
5957,1561364_at,NA,NA,2.424875,2.373925,2.41765,2.41355
5958,1561365_at,NRP1,8829,3.6671,3.76355,3.6838,3.75855
5959,1561367_a_at,NA,NA,2.77175,2.794175,2.595625,2.7081
5960,1561368_at,NA,NA,2.153675,2.25085,2.1068,2.177825
5961,1561369_at,NA,NA,3.763075,3.73425,3.633175,3.69705
5962,1561370_at,NA,NA,3.0663,3.037375,2.88885,3.086925
5963,1561371_at,FLJ39080,441355,3.4135,3.44875,3.1353,3.237425
5964,1561373_at,LOC285796,285796,3.12285,3.2524,3.125275,3.173575
5965,1561375_at,NA,NA,3.473,3.464475,3.4517,3.31745
5966,1561378_at,C12orf42,374470,3.2774,3.313275,3.28365,3.164325
5967,1561383_at,LOC284661,284661,2.689925,2.685625,2.55675,2.786225
5968,1561384_a_at,LOC284661,284661,3.038125,3.1252,3.1021,3.12385
5969,1561386_at,NA,NA,4.684875,4.6613,4.5227,4.639775
5970,1561387_a_at,FAM55A,120400,2.704925,2.775325,2.5589,2.6093
