Probeset	GeneSymbole	Signal
1552596_at	GAS2L2	71.14941227
1552598_at	KCNG4	8.192416133
1552599_at	PXT1	38.98540332
1552602_at	CACNG5	29.7113341
1552604_at	C21orf74	7.872609212
1552605_s_at	C21orf74	38.78166343
1552607_at	NCRNA00204	142.568241
1552608_at	WFDC11	24.97394132
1552609_s_at	NA	11.38230887
1552610_a_at	JAK1	1465.971778
1552611_a_at	JAK1	227.3328207
1552612_at	CDC42SE2	221.5631094
1552613_s_at	CDC42SE2	190.8376624
1552615_at	ACACB	988.3962742
1552616_a_at	ACACB	456.6524562
1552617_a_at	RFWD2	813.8740164
1552618_at	STX6	174.2748428
1552619_a_at	ANLN	11.16388113
1552620_at	SPRR4	417.3104367
1552621_at	NA	2370.739316
1552622_s_at	NA	1775.153259
1552623_at	HSH2D	8.338464044
1552625_a_at	TRNT1	237.9099901
1552626_a_at	TMEM163	159.3501305
1552627_a_at	ARHGAP5	236.4555672
1552628_a_at	HERPUD2	1690.853502
1552629_a_at	JMJD6	92.31275497
1552630_a_at	SRCAP	29.58827371
1552631_a_at	MAP3K6	166.6534317
1552632_a_at	ARSG	79.10880821
1552633_at	ZNF101	84.79664961
1552634_a_at	ZNF101	94.95968717
1552637_at	PTPN11	34.19464234
1552639_at	KLHDC7B	51.72929998
1552641_s_at	NA	123.4565145
1552643_at	ZNF626	266.311478
1552644_a_at	PHC3	81.9053944
1552646_at	IL11RA	235.8374036
1552648_a_at	TNFRSF10A	89.62188056
1552649_a_at	RFFL	47.84176118
1552651_a_at	RFFL	142.8057393
1552652_at	HPS4	169.2025882
1552656_s_at	UHMK1	233.050915
1552657_a_at	TXNDC2	114.3546438
1552658_a_at	NAV3	244.4440246
1552660_a_at	C5orf22	637.0327932
1552661_at	PCDHGB7	19.38336904
1552662_a_at	PCDHGB7	45.90450429
1552663_a_at	ERC1	334.4702896
1552664_at	FLCN	493.56814
1552665_at	LOC84989	61.12359836
1552666_a_at	LRRC7	42.19507499
1552667_a_at	SH2D3C	220.9033947
1552669_at	PPP1R3B	25.51622068
1552670_a_at	PPP1R3B	704.449835
1552671_a_at	SLC9A7	27.66794128
1552672_a_at	IGSF3	18.36015347
1552673_at	RFX6	4.636711201
1552674_at	DIRC1	2.657548076
1552675_at	DNAJB7	19.42381026
1552676_at	UCN3	7.981886445
1552677_a_at	DIP2A	165.9458603
1552678_a_at	USP28	548.6137524
1552680_a_at	CASC5	89.75299121
1552682_a_at	CASC5	83.08319811
1552684_a_at	SENP8	151.4655104
1552685_a_at	GRHL1	70.1190791
1552686_at	C20orf152	37.3690918
1552687_a_at	C20orf152	8.359377639
1552689_at	CASKIN1	19.71372793
1552690_a_at	CACNA2D4	88.49448999
1552691_at	ARL11	67.48881247
1552693_at	ARL11	45.22365068
1552694_at	SLC2A13	24.96714199
1552695_a_at	SLC2A13	57.74882114
1552696_at	NIPA1	48.10991839
1552698_at	MGC16703	41.32565548
1552701_a_at	CARD16	900.9569463
1552703_s_at	NA	740.8538268
1552705_at	DUSP19	97.32392398
1552708_a_at	DUSP19	59.65310423
1552711_a_at	CYB5D1	455.263739
1552712_a_at	NMNAT2	101.8678379
1552713_a_at	SLC4A1	64.14365253
1552714_at	CREG2	8.133674143
1552715_a_at	RXFP1	42.61390224
1552716_at	SPEF2	26.19196596
1552717_s_at	NA	20.69877283
1552718_at	DTD1	60.56356888
1552719_at	CASC4	217.184874
1552721_a_at	FGF1	332.0844105
1552722_at	ARPP-21	51.00431751
1552724_at	RHOXF1	19.99953194
1552725_s_at	ADAMTS17	67.29922313
1552726_at	ADAMTS17	110.1719592
1552727_s_at	ADAMTS17	116.3681082
1552729_at	SNHG7	211.7480578
1552730_at	DHH	31.69184494
1552731_at	ABRA	879.1966791
1552732_at	ABRA	5811.313548
1552733_at	KLHDC1	1004.383104
1552734_at	RICTOR	62.84459172
1552735_at	NA	1165.709901
1552736_a_at	NETO1	11.27711018
1552737_s_at	WWP2	155.9079924
1552738_a_at	ST7L	144.9653441
1552739_s_at	ST7L	210.742214
1552740_at	C2orf15	12.91150095
1552742_at	KCNH8	34.84756675
1552743_at	MCF2L	28.34909495
1552745_at	SLCO6A1	94.77483555
1552747_a_at	C3orf48	22.62533057
1552749_a_at	KLC3	62.74648401
1552750_at	CIB3	6.866306154
1552751_a_at	CIB3	18.80345904
1552752_a_at	CADM2	86.47908499
1552754_a_at	CADM2	227.8464341
1552755_at	C9orf66	46.68203634
1552757_s_at	C9orf66	60.45372359
1552758_at	HDAC9	17.89818237
1552760_at	HDAC9	16.12597741
1552761_at	SLC16A11	151.5128241
1552763_at	TMEM67	2.349419789
1552765_x_at	TMEM67	45.22742985
1552766_at	HS6ST2	66.70176515
1552767_a_at	HS6ST2	570.8980722
1552768_at	CAMKK1	38.83069462
1552769_at	ZNF625	51.06496054
1552770_s_at	ZNF563	351.4797376
1552771_a_at	LIN9	14.27183756
