Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
239516_at,NA,NA,5.962625,5.904525,6.197125,6.01475
239517_at,ITGB6,3694,3.39725,3.314825,2.9861,3.030675
239518_at,NA,NA,4.05535,3.927375,3.763725,3.942575
239519_at,NA,NA,4.516325,4.547225,3.76855,3.607025
239520_at,NA,NA,2.134475,2.2997,2.288725,2.2435
239521_at,NA,NA,4.5174,4.5392,4.813125,4.653775
239522_at,IL12RB1,3594,4.33615,4.2994,4.328775,4.3848
239523_at,TUSC5,286753,4.8292,4.791825,4.780525,4.956275
239524_at,TSSK6,83983,4.599575,4.79005,4.76565,4.7378
239525_at,CTTNBP2NL,55917,7.299725,7.3624,7.159175,7.1084
239526_x_at,PTPN1,5770,2.881125,2.964,2.836275,2.91525
239527_at,RAB3GAP1,22930,3.8423,3.9899,3.952625,3.75815
239528_at,PROM2,150696,4.2981,4.202325,4.06515,4.0663
239529_at,C5orf20,140947,3.3921,3.411225,3.36605,3.31
239530_at,NA,NA,4.353925,4.38425,4.30485,4.386725
239531_at,NA,NA,3.594125,3.718775,3.7868,3.934575
239532_at,NA,NA,6.5887,6.6964,6.434575,6.4294
239533_at,GPR155,151556,2.9323,2.86535,2.3238,2.3628
239534_at,NA,NA,3.460725,3.548675,3.506425,3.46215
239535_at,NA,NA,5.037,5.1353,5.115025,5.176375
239536_at,NA,NA,4.424875,4.500975,4.6177,4.6203
239537_at,ST8SIA2,8128,3.393825,3.28575,2.84215,2.793475
239538_at,ZRANB3,84083,4.897225,5.0862,6.188475,6.21185
239539_at,NA,NA,4.21065,3.977875,4.39565,4.24505
239540_at,NA,NA,3.902125,3.70585,4.1077,3.946675
239541_at,NA,NA,2.9801,2.85125,2.73455,2.68915
239542_at,ITPR3,3710,4.378225,4.40265,4.377125,4.318225
239543_s_at,NA,NA,2.84245,2.83145,3.4875,3.12055
239544_at,NA,NA,4.782775,4.764425,4.46875,4.3999
239545_at,NA,NA,4.470425,4.392175,4.325425,4.2445
239546_at,LOC100131053,100131053,2.433725,2.271975,2.82515,2.661275
239547_at,HS3ST6,64711,3.56955,3.559325,3.4679,3.486875
239548_at,NEGR1,257194,3.513875,4.065125,2.695175,2.85275
239549_at,NA,NA,5.580725,5.654025,5.746775,5.633825
239550_at,RORA,6095,4.0223,4.21805,4.098375,3.981525
239551_at,NA,NA,4.373875,4.386325,4.31975,4.204275
239552_at,VWDE,221806,3.28545,3.4371,2.2137,2.257975
239553_at,FLJ35379,729420,2.4775,2.63175,2.74325,2.7886
239554_at,NA,NA,3.12315,3.279475,3.292775,3.305475
239555_at,NA,NA,4.2785,4.238025,4.13405,4.1738
239556_at,LOC645513,645513,2.188775,2.21155,2.394175,2.14135
239557_at,NA,NA,4.276925,4.30445,4.364675,4.479175
239558_at,NA,NA,2.5249,2.50025,2.4466,2.389775
239559_at,NA,NA,3.0315,3.076025,2.9607,3.10755
239560_at,NA,NA,3.62875,3.854075,3.725925,3.861725
239561_at,NA,NA,4.31915,4.0961,4.08285,4.102375
239562_at,MTHFD2L,441024,6.036925,6.1366,5.421275,5.4438
239563_at,NA,NA,3.873375,3.919475,4.095925,4.123725
239564_at,LOC100128198,100128198,4.496825,4.35785,4.4817,4.565975
239565_at,LOC100128292,100128292,5.513525,5.522575,5.48995,5.474325
239566_at,NA,NA,3.4808,3.515075,3.3101,3.355025
239567_at,NA,NA,3.600525,3.6531,3.68565,3.688775
239568_at,PLEKHH2,130271,2.609525,2.67205,2.5829,2.5267
239569_at,FLJ31485,440119,4.01975,4.179525,4.08045,4.1067
239570_at,RAB1A,5861,3.1136,3.035325,3.05525,2.98105
239571_at,NA,NA,5.5493,5.40825,5.824125,5.750025
239572_at,GJA3,2700,2.203475,2.35725,2.304575,2.180425
239573_at,NA,NA,3.062025,3.099625,2.987925,3.08985
239574_at,NA,NA,4.852675,4.73165,3.87955,3.730125
239575_at,OPALIN,93377,3.12705,3.1779,3.1532,3.2081
239576_at,MTUS1,57509,7.290575,7.339225,6.0263,6.220175
239577_at,NA,NA,5.490425,5.389275,4.444475,4.4693
239578_at,NA,NA,6.1451,6.141625,4.92025,4.861375
239579_at,EPHX4,253152,6.288575,6.386075,4.52555,4.483475
239580_at,GUCY1A3,2982,2.316725,2.2584,2.24955,2.264625
239581_at,NA,NA,5.240125,5.208075,4.630075,4.84825
239582_at,PML,5371,5.223275,5.125675,6.0304,5.71015
239583_x_at,PSG5,5673,5.259075,5.2267,5.22895,5.263275
239584_at,NA,NA,3.47425,3.47085,3.330975,3.365275
239585_at,KAT2B,8850,2.893325,2.70005,3.83475,3.756125
239586_at,FAM83A,84985,6.11005,6.315575,5.88685,6.041425
239587_at,NA,NA,4.5648,4.18085,6.87145,6.184075
239588_s_at,NA,NA,3.3236,3.36765,3.54485,3.513475
239589_at,NA,NA,2.2682,2.355475,2.279525,2.287425
239590_x_at,NA,NA,4.53225,4.59345,4.6262,4.443475
239591_at,LRRC37A3,374819,2.89065,2.8041,3.2079,3.465275
239592_at,NA,NA,5.36705,5.370525,5.03335,5.11275
239593_at,TMEM213,155006,3.45005,3.41705,3.43405,3.396975
239594_at,LOC145837,145837,2.381125,2.462575,2.405625,2.364225
239595_at,GPX2,2877,3.194775,3.252625,3.009425,3.01395
239596_at,SLC30A7,148867,6.216425,6.097125,5.771475,5.7999
239597_at,NA,NA,5.306625,5.260225,5.565525,5.784175
239598_s_at,LPCAT2,54947,7.5173,7.502025,7.37325,7.87385
239599_at,NA,NA,4.653475,4.71345,4.654425,4.633575
239600_at,NA,NA,4.104775,4.070675,4.320075,4.582075
239601_at,NA,NA,5.8906,5.782975,6.124125,6.204975
239602_at,C21orf87,257357,3.68295,3.5847,3.3558,3.311675
239603_x_at,NA,NA,5.101025,5.28065,5.012525,5.26235
239604_at,NA,NA,3.23485,3.202025,3.1963,3.09715
239605_x_at,NA,NA,3.00585,3.018675,2.87475,2.908475
239606_at,NA,NA,4.5717,4.368375,4.4658,4.583775
239607_at,GPR156,165829,6.16655,6.2305,6.285325,6.272375
239608_at,LPCAT4,254531,4.043575,4.1912,4.1095,4.11215
239609_s_at,LPCAT4,254531,3.695225,3.897325,4.5892,4.49735
239610_at,NA,NA,4.0991,3.77135,3.856875,3.946725
239611_at,NA,NA,2.744275,2.683175,2.5918,2.6257
239612_at,LOC100240734,100240734,3.8608,3.976,3.7728,3.685075
239613_at,NA,NA,4.038925,4.0528,3.96545,3.94125
239614_x_at,NA,NA,2.44735,2.523725,2.369175,2.489675
239615_at,SLC22A5,6584,3.4836,3.314875,3.91945,3.829475
239616_at,REXO2,25996,3.9372,3.807625,3.2541,3.392825
239617_at,GHRLOS,100126793,5.047,4.896725,5.212225,5.18045
239618_at,SEC16B,89866,2.964975,2.9585,3.063525,2.988175
239619_at,NA,NA,2.9361,2.917925,3.1469,3.4529
239620_at,TTC23L,153657,3.99925,4.119475,3.896225,3.70845
239621_at,NA,NA,2.07985,2.13245,2.397075,2.253025
239622_at,TRAP1,10131,2.4456,2.34085,2.46955,2.32835
239623_at,FLJ44606,401207,4.502225,4.568475,4.88765,4.78015
239624_at,NA,NA,2.1777,2.24515,2.285925,2.319025
239625_at,NA,NA,2.98505,2.8965,2.939875,2.909875
239626_x_at,TM9SF3,56889,4.264425,4.161475,4.052025,4.004625
239627_at,TMED9,54732,5.265425,5.131925,4.991425,4.80345
239628_at,NA,NA,5.48665,5.566075,5.398375,5.417725
239629_at,CFLAR,8837,7.562075,7.230775,7.1684,6.6097
239630_at,NA,NA,2.9318,3.155325,3.0308,3.3128
239631_at,NA,NA,3.1516,3.169475,3.084825,2.98215
239632_at,NA,NA,3.9299,3.916725,3.803325,3.808025
239633_at,NA,NA,4.72585,4.7292,4.76675,4.723925
239634_at,NA,NA,3.080925,3.0355,3.145475,3.298125
239635_at,RBM14,10432,5.166425,5.146825,5.801125,5.97545
239636_at,MCF2L,23263,3.2569,3.275325,3.220025,3.352325
239637_at,NA,NA,4.249375,4.333425,4.670275,4.804575
239638_at,NA,NA,7.239,7.1144,4.7895,4.625
239639_at,NA,NA,2.415575,2.4012,2.3861,2.370825
239640_at,LOC401320,401320,4.043675,4.1695,3.998825,3.97825
239641_at,NA,NA,6.873225,6.827225,7.473375,7.419225
239642_at,LOC100132301,100132301,3.97515,4.00175,3.9731,3.81375
239643_at,NA,NA,4.376,4.485825,4.33205,4.39655
239644_at,NA,NA,4.556425,4.7086,5.35955,5.375275
239645_at,NA,NA,4.609775,4.641875,4.3539,4.433875
239646_at,NA,NA,2.468425,2.427225,2.8738,2.7736
239647_at,CHST13,166012,3.386825,3.573825,3.445925,3.303275
239648_at,DCUN1D3,123879,8.402475,8.54675,7.00825,7.026125
239649_at,NA,NA,5.323725,5.41175,5.047225,5.21645
239650_at,NCKAP5,344148,3.473025,3.039975,4.8583,5.6006
239651_at,ANAPC5,51433,5.207075,5.05325,5.5722,5.502875
239652_at,NA,NA,3.859025,3.823525,3.6817,3.781475
239653_at,NA,NA,5.16545,4.914375,3.5146,3.6273
239654_at,CHD9,80205,6.10495,6.0007,5.30775,5.27975
239655_at,NA,NA,3.0236,2.9673,3.1061,3.037075
239656_at,LOC723809,723809,3.724775,3.67455,3.481075,3.561625
239657_x_at,FOXO6,100132074,4.9311,5.0437,5.242625,5.274425
239658_at,NA,NA,5.586925,5.55105,5.419625,5.410725
239659_at,NA,NA,4.6805,4.793075,4.61625,4.7632
239660_at,RALGAPA2,57186,4.46795,4.5917,4.2132,4.18905
239661_at,NA,NA,2.84725,2.893275,2.926225,2.82185
239662_x_at,TMCC1,23023,5.376925,5.478375,5.2545,5.312175
239663_x_at,LARP1,23367,4.8273,4.68115,4.248475,4.588275
239664_at,NA,NA,2.879425,2.954775,3.274775,3.19805
239665_at,LOC441179,441179,2.981225,2.83515,2.779075,2.583675
239666_at,PYGO2,90780,4.913175,4.93015,4.67175,4.689175
239667_at,SLC3A1,6519,2.2451,2.2151,2.231925,2.20925
239668_at,NA,NA,3.0139,2.859375,3.2889,3.38125
239669_at,NA,NA,3.526975,3.636275,3.730525,3.58645
239670_at,NA,NA,4.97455,5.026575,4.973125,4.84045
239671_at,NA,NA,4.86,4.95575,4.500975,4.502725
239672_at,NA,NA,2.762625,2.69775,2.6664,2.559725
239673_at,NA,NA,4.2558,4.259725,5.4144,5.291925
239674_at,NA,NA,2.76495,2.831525,2.6872,2.62005
239675_at,LOC283143,283143,2.895625,3.10205,2.80835,3.035525
239676_x_at,LOC642031,642031,5.2708,5.137325,5.170975,5.10265
239677_at,NA,NA,4.73945,4.7809,4.22505,4.289
239678_at,NA,NA,3.591025,3.63585,4.0776,4.13215
239679_at,NA,NA,4.0904,3.743075,3.89395,4.150825
239680_at,NA,NA,3.78125,3.7973,6.9593,7.030625
239681_at,C17orf56,146705,4.9947,5.0292,4.8695,4.9877
239682_at,NA,NA,5.557,5.5585,5.4602,5.299225
239683_at,CLYBL,171425,3.5379,3.5645,3.6281,3.680325
239684_at,NA,NA,3.2569,3.367825,3.312875,3.3363
239685_at,LOC283143,283143,3.905775,3.948975,3.87265,3.88365
239686_at,NA,NA,3.799075,3.84435,3.80345,3.675175
239687_at,BTBD12,84464,5.379275,5.47055,5.49185,5.496325
239688_at,SMC1A,8243,3.5483,3.493925,4.218975,4.443775
239689_at,NA,NA,4.74125,4.77445,4.513775,4.7602
239690_at,NA,NA,3.835925,3.79725,3.888675,3.935925
239691_at,C12orf77,196415,2.318725,2.360825,2.512475,2.401525
239692_at,NA,NA,4.219275,4.0067,4.136125,3.995475
239693_at,SNX24,28966,2.2441,2.331525,2.25295,2.3684
239694_at,TRIM7,81786,3.898975,4.004025,4.293875,4.623625
239695_at,JAK1,3716,5.29725,5.024225,4.601025,4.2938
239696_at,NA,NA,3.906225,3.8813,4.2255,4.459625
239697_x_at,C3orf67,200844,2.736925,2.7159,3.087625,2.932575
239698_at,NA,NA,3.237025,3.0161,3.5029,3.48105
239699_s_at,NA,NA,5.0777,5.159825,4.747075,4.892575
239700_at,ZNF710,374655,4.626125,4.5987,4.160825,4.30975
239701_at,NA,NA,3.897575,3.95635,3.921425,3.8927
239702_x_at,LOC100287241,100287241,4.70845,4.713625,4.60575,4.639525
239703_at,NA,NA,3.610225,3.59405,3.70415,3.669625
239704_at,RNF144B,255488,4.98155,5.012525,7.74775,7.880725
239705_at,IGHV3OR16-14,100287372,3.7052,3.8945,3.54915,3.5333
239706_x_at,NA,NA,5.602625,5.556025,5.466575,5.567525
239707_at,SLC5A10,125206,4.175575,4.2742,4.2582,4.2618
