	GSM309986.CEL
1552384_a_at	101.606892902843
1552386_at	189.880693078527
1552388_at	119.167759771055
1552389_at	25.7025775791258
1552390_a_at	59.2440007319775
1552391_at	9.3497699507322
1552393_at	2.31325937319995
1552394_a_at	2.27235718036897
1552395_at	21.7662158926219
1552396_at	51.0940294723497
1552398_a_at	118.880483088331
1552399_a_at	16.7013952927521
1552400_a_at	90.6711557338777
1552401_a_at	76.2175785547683
1552402_at	345.187864053068
1552405_at	14.3411133165464
1552408_at	55.9427587514524
1552409_a_at	56.1871404433805
1552410_at	49.1061328695711
1552411_at	15.2983710622222
1552412_a_at	25.5204530970617
1552414_at	95.2363064345943
1552415_a_at	71.6936880053106
1552417_a_at	900.3092647694
1552418_at	12.2401536797448
1552419_s_at	29.6667177266603
1552421_a_at	17.0877553567734
1552422_at	30.3017313087442
1552423_at	170.06920722045
1552424_at	3.0006177163146
1552425_a_at	85.39552955748
1552426_a_at	3153.84087246652
1552427_at	264.555501008986
1552430_at	9.99970894060648
1552432_at	18.6208410372629
1552436_a_at	6.92492128969815
1552438_a_at	15.4222997019976
1552439_s_at	7.80928485256412
1552440_at	45.8047542282769
1552445_a_at	13.8187681436907
1552448_a_at	6.07837015687908
1552449_a_at	4.22113667397236
1552450_a_at	19.0589714136382
1552452_at	4.29729704084957
1552453_a_at	5.21091791241415
1552455_at	112.322298337588
1552456_a_at	18.1911730189665
1552457_a_at	10.5807020048762
1552458_at	5.50525159347204
1552459_a_at	62.6963422444059
1552461_at	2.73308921928091
1552463_at	57.7645651669585
1552466_x_at	3.00017296636706
1552467_at	101.422390514264
1552468_a_at	90.3998032583847
1552470_a_at	120.908261655652
1552472_a_at	121.013080139957
1552473_at	1027.40337975351
1552474_a_at	3764.57996888773
1552476_s_at	871.097121250197
1552477_a_at	106.577910406719
1552478_a_at	6.86774754702332
1552480_s_at	2.26533010286227
1552481_s_at	11.2412369082458
1552482_at	34.7793005146297
1552484_at	23.651349255955
1552485_at	309.243258761941
1552486_s_at	517.891770433139
1552487_a_at	1722.51531070544
1552489_s_at	56.8855370973032
1552490_at	97.4913833896148
1552491_at	6979.47234726354
1552493_s_at	17.7438083749217
1552494_at	37.9316864679482
1552496_a_at	62.9382606056203
1552497_a_at	274.99832482995
1552498_at	157.641250576378
1552499_a_at	9.10877762537552
1552501_a_at	75.4498484522101
1552502_s_at	83.7048888162329
1552503_at	12.4584764095198
1552504_a_at	150.780567997375
1552506_at	12.7512413382705
1552507_at	20.3660926666676
1552508_at	65.6001973944001
1552509_a_at	1326.08529542167
1552510_at	252.239942994827
1552511_a_at	10.4273025304189
1552514_at	29.6025699481111
1552515_at	53.3465890007902
1552516_a_at	114.206594618128
1552518_s_at	6.90281875563067
1552519_at	888.603688405583
1552520_at	142.59060455473
1552521_a_at	138.744309346945
1552522_at	140.862636775749
1552523_a_at	141.361976389896
1552524_at	34.9311972898112
1552526_at	58.7915167785566
1552528_at	14.8807271124886
